bad_user_id, l2_topk_bad, l2_lastk_bad, cosine_topk_bad, cosine_lastk_bad, unlabelled_l2_topk, unlabelled_l2_lastk, l2_topk_good, l2_lastk_good, cosine_topk_good, cosine_lastk_good,unlabelled_cosine_topk, unlabelled_cosine_lastk
11,2,1,0,2,6,1,0,6,3,0,5,6
15,2,0,1,2,6,4,0,4,4,0,3,6
90,2,1,1,2,0,3,6,4,5,0,2,6
95,2,0,0,2,6,3,0,5,6,0,2,6
177,2,0,0,2,6,1,0,7,5,0,3,6
197,2,1,0,2,0,3,6,4,4,0,4,6
211,2,0,0,2,0,4,6,4,2,0,6,6
255,2,0,1,2,0,7,6,1,2,0,5,6
257,2,0,0,2,0,8,6,0,1,0,7,6
272,2,0,0,2,0,3,6,5,3,0,5,6
338,2,0,0,2,0,8,6,0,0,0,8,6
384,2,1,0,2,0,6,6,1,1,0,7,6
416,2,0,1,2,0,7,6,1,0,0,7,6
759,2,1,0,2,0,7,6,0,0,0,8,6
946,2,0,0,2,0,8,6,0,1,0,7,6
1760,2,0,0,2,0,6,6,2,3,0,5,6
2336,2,1,0,2,0,3,6,4,5,0,3,6
2408,2,0,0,2,0,8,6,0,0,0,8,6
3133,2,0,0,2,0,8,6,0,0,0,8,6
3254,2,0,1,2,0,7,6,1,1,0,6,6
3516,2,0,0,2,0,8,6,0,1,0,7,6
3774,2,0,1,2,0,8,6,0,2,0,5,6
7371,2,0,0,2,0,8,6,0,0,0,8,6
7380,2,2,0,2,0,6,6,0,0,0,8,6
7398,2,0,0,2,0,7,6,1,0,0,8,6
7406,2,1,0,2,0,7,6,0,0,0,8,6
7408,2,1,2,0,0,7,6,0,0,0,6,8
7412,2,1,1,2,0,7,6,0,0,0,7,6
7417,2,2,1,0,0,6,6,0,0,0,7,8
7423,2,0,0,2,0,8,6,0,0,0,8,6
7426,2,0,2,2,0,8,6,0,0,0,6,6
7433,2,0,0,2,0,8,6,0,0,0,8,6
7435,2,0,0,2,0,8,6,0,0,0,8,6
7442,2,0,1,2,0,7,6,1,1,0,6,6
7447,2,0,0,2,0,8,6,0,1,0,7,6
7448,2,3,4,0,0,5,6,0,0,0,4,8
7457,2,0,1,2,0,8,6,0,0,0,7,6
7459,2,5,5,0,0,3,6,0,0,0,3,8
7470,2,5,5,0,0,3,6,0,0,0,3,8
7471,2,5,5,0,0,3,6,0,0,0,3,8
7472,2,5,5,0,0,3,6,0,0,0,3,8
7474,2,5,5,0,0,3,6,0,0,0,3,8
7475,2,5,5,0,0,3,6,0,0,0,3,8
7477,2,3,4,0,0,5,6,0,0,0,4,8
7479,2,0,0,2,0,8,6,0,0,0,8,6
7480,2,3,4,0,0,5,6,0,0,0,4,8
7483,2,1,1,0,0,7,6,0,0,0,7,8
7484,2,1,0,0,0,7,6,0,0,0,8,8
7485,2,1,0,0,0,7,6,0,0,0,8,8
7501,2,0,0,2,0,8,6,0,0,0,8,6
7503,2,0,0,2,0,8,6,0,0,0,8,6
7504,2,0,0,2,0,8,6,0,0,0,8,6
7505,2,1,1,0,0,7,6,0,0,0,7,8
7506,2,3,1,0,0,5,6,0,0,0,7,8
7507,2,0,0,2,0,8,6,0,0,0,8,6
7510,2,0,1,1,0,8,6,0,0,0,7,7
7513,2,0,0,2,0,8,6,0,0,0,8,6
7514,2,0,0,2,0,7,6,1,0,0,8,6
7516,2,2,1,2,0,6,6,0,0,0,7,6
7521,2,1,0,2,0,7,6,0,0,0,8,6
7522,2,2,2,0,0,6,6,0,0,0,6,8
7523,2,2,2,0,0,6,6,0,0,0,6,8
7528,2,0,0,2,0,7,6,1,1,0,7,6
7532,2,2,2,0,0,6,6,0,0,0,6,8
7535,2,1,1,0,0,7,6,0,0,0,7,8
7540,2,1,1,2,0,7,6,0,0,0,7,6
7542,2,2,3,0,0,6,6,0,0,0,5,8
