bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
1,2,0,2,1,2,1,0,3,1,2,0,2
2,2,0,2,1,2,1,1,1,2,2,0,2
3,2,0,2,1,2,1,1,3,0,2,0,2
4,2,0,2,1,1,2,1,2,1,2,0,2
5,2,0,2,1,1,2,1,1,2,2,0,2
6,2,0,2,0,2,2,1,1,2,2,0,2
7,2,0,2,0,3,1,1,3,0,2,0,2
8,2,0,2,0,2,2,1,2,1,2,0,2
9,2,0,2,0,2,2,1,2,1,2,0,2
10,2,0,2,0,2,2,0,3,1,2,0,2
13,2,2,0,0,0,4,1,2,1,2,0,2
14,2,2,0,0,3,1,0,2,2,2,0,2
16,2,2,0,1,0,3,1,2,1,2,0,2
19,2,0,2,1,1,2,0,3,1,2,0,2
20,2,2,0,1,1,2,0,1,3,2,0,2
21,3,0,1,0,3,1,1,2,1,2,0,2
23,2,2,0,0,1,3,1,1,2,2,0,2
24,2,0,2,0,1,3,0,3,1,2,0,2
26,2,0,2,0,2,2,0,2,2,2,0,2
27,2,2,0,0,3,1,0,2,2,2,0,2
28,2,2,0,0,0,4,1,3,0,2,0,2
30,2,0,2,1,2,1,1,0,3,2,0,2
31,2,2,0,0,1,3,2,1,1,2,0,2
32,3,0,1,0,3,1,0,2,2,2,0,2
34,2,2,0,0,2,2,0,3,1,2,0,2
36,3,0,1,0,2,2,0,3,1,2,0,2
37,2,2,0,0,0,4,1,1,2,2,0,2
40,2,2,0,0,1,3,1,2,1,2,0,2
41,2,2,0,0,0,4,0,0,4,0,0,4
42,2,0,2,0,3,1,1,3,0,2,0,2
43,2,0,2,0,3,1,1,3,0,2,0,2
45,2,2,0,1,1,2,1,1,2,2,0,2
46,2,2,0,0,0,4,0,2,2,2,0,2
47,2,2,0,0,2,2,1,2,1,2,0,2
49,2,2,0,0,3,1,0,3,1,2,0,2
53,2,2,0,1,1,2,0,0,4,2,0,2
54,2,2,0,0,1,3,0,1,3,2,0,2
56,2,2,0,0,0,4,0,1,3,2,0,2
59,2,2,0,0,0,4,0,1,3,2,0,2
63,2,2,0,0,1,3,1,1,2,2,0,2
67,2,2,0,0,2,2,0,2,2,2,0,2
68,2,2,0,0,1,3,1,1,2,1,0,3
73,2,2,0,0,3,1,0,3,1,2,0,2
75,2,2,0,0,3,1,1,1,2,2,0,2
77,2,2,0,0,1,3,0,1,3,2,0,2
83,2,2,0,2,0,2,0,0,4,2,0,2
85,2,0,2,0,2,2,0,4,0,2,0,2
91,2,2,0,0,0,4,0,1,3,2,0,2
92,2,2,0,0,0,4,0,1,3,2,0,2
100,2,2,0,0,1,3,1,3,0,2,0,2
103,2,2,0,0,0,4,0,0,4,2,0,2
105,2,2,0,1,0,3,0,2,2,2,0,2
109,2,2,0,0,0,4,0,2,2,2,0,2
111,2,2,0,0,1,3,0,1,3,2,0,2
112,2,2,0,0,0,4,0,0,4,2,0,2
113,2,2,0,1,1,2,0,2,2,2,0,2
118,2,2,0,0,1,3,0,1,3,2,0,2
119,2,2,0,1,0,3,0,0,4,2,0,2
120,2,2,0,0,0,4,0,1,3,2,0,2
123,2,2,0,1,2,1,1,2,1,2,0,2
124,2,2,0,0,3,1,0,0,4,2,0,2
129,2,2,0,0,0,4,1,3,0,2,0,2
131,2,2,0,0,0,4,0,1,3,2,0,2
138,2,2,0,0,0,4,1,0,3,2,0,2
142,2,2,0,0,2,2,0,1,3,2,0,2
145,2,2,0,0,3,1,0,2,2,2,0,2
148,2,2,0,0,0,4,0,1,3,2,0,2
149,2,2,0,0,0,4,0,0,4,2,0,2
150,2,2,0,0,0,4,0,1,3,2,0,2
159,2,2,0,1,1,2,1,2,1,2,0,2
163,2,2,0,0,0,4,1,0,3,2,0,2
168,2,2,0,0,1,3,0,1,3,2,0,2
170,2,2,0,1,0,3,0,1,3,2,0,2
174,2,2,0,1,2,1,1,2,1,2,0,2
176,2,2,0,0,0,4,1,0,3,2,0,2
191,2,2,0,1,1,2,0,1,3,2,0,2
199,2,2,0,0,1,3,0,1,3,2,0,2
203,2,2,0,0,0,4,1,3,0,2,0,2
207,2,2,0,0,1,3,0,1,3,2,0,2
227,2,2,0,0,0,4,0,2,2,2,0,2
242,2,2,0,0,0,4,0,1,3,2,0,2
248,2,2,0,0,0,4,1,0,3,2,0,2
266,2,2,0,0,1,3,0,2,2,2,0,2
267,2,2,0,0,0,4,0,1,3,2,0,2
286,2,2,0,0,1,3,0,0,4,2,0,2
287,2,2,0,0,1,3,0,2,2,2,0,2
297,2,2,0,0,0,4,0,0,4,2,0,2
302,2,2,0,1,0,3,0,0,4,2,0,2
310,2,2,0,0,0,4,0,0,4,2,0,2
311,2,2,0,0,0,4,1,1,2,2,0,2
312,2,2,0,0,0,4,0,0,4,2,0,2
333,2,2,0,0,0,4,0,0,4,2,0,2
335,2,2,0,0,0,4,0,0,4,2,0,2
336,2,2,0,0,0,4,1,0,3,2,0,2
