bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
11,36,9,0,6,38,1,6,39,0,32,12,1
15,36,9,0,6,38,1,8,37,0,32,12,1
90,32,13,0,7,37,1,6,39,0,33,11,1
95,36,9,0,6,38,1,8,37,0,32,12,1
177,36,9,0,6,38,1,7,38,0,32,12,1
197,28,17,0,7,37,1,5,40,0,33,11,1
211,23,22,0,7,37,1,5,40,0,32,12,1
255,23,22,0,6,38,1,6,39,0,32,12,1
257,7,38,0,16,28,1,16,29,0,32,12,1
272,23,22,0,7,37,1,7,38,0,32,12,1
338,7,38,0,30,14,1,23,22,0,29,15,1
384,7,38,0,25,19,1,18,27,0,32,12,1
416,7,38,0,14,30,1,16,29,0,33,11,1
759,7,38,0,16,28,1,9,36,0,32,12,1
946,7,38,0,15,29,1,11,34,0,32,12,1
1760,7,38,0,15,29,1,13,32,0,33,11,1
2336,28,17,0,7,37,1,9,36,0,32,12,1
2408,7,38,0,28,16,1,32,13,0,25,19,1
3133,7,38,0,36,8,1,19,26,0,32,12,1
3254,7,38,0,18,26,1,17,28,0,33,11,1
3516,7,38,0,31,13,1,22,23,0,29,15,1
3774,7,38,0,28,16,1,21,24,0,33,11,1
7371,7,38,0,30,14,1,23,22,0,32,12,1
7380,7,38,0,18,26,1,20,25,0,33,11,1
7398,7,38,0,23,21,1,22,23,0,32,12,1
7406,7,38,0,21,23,1,29,16,0,28,16,1
7408,7,38,0,36,8,1,34,11,0,17,27,1
7412,7,38,0,28,16,1,24,21,0,29,15,1
7417,7,38,0,36,8,1,33,12,0,8,36,1
7423,7,38,0,36,8,1,31,14,0,25,19,1
7426,7,38,0,31,13,1,32,13,0,25,19,1
7433,7,38,0,36,8,1,32,13,0,25,19,1
7435,7,38,0,36,8,1,32,13,0,25,19,1
7442,7,38,0,24,20,1,30,15,0,28,16,1
7447,7,38,0,35,9,1,33,12,0,25,19,1
