bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
1,7,0,8,3,9,3,1,8,6,0,2,13
2,7,0,8,2,10,3,3,5,7,0,2,13
3,7,0,8,3,9,3,2,12,1,0,2,13
4,7,0,8,2,8,5,2,10,3,0,2,13
5,7,0,8,2,9,4,1,8,6,0,1,14
6,7,0,8,2,7,6,1,9,5,0,1,14
7,7,0,8,2,10,3,2,10,3,0,1,14
8,7,0,8,2,9,4,2,10,3,1,2,12
9,7,0,8,2,7,6,1,6,8,0,1,14
10,7,0,8,2,10,3,2,7,6,0,2,13
13,3,10,2,0,3,12,2,9,4,0,1,14
14,8,5,2,1,10,4,1,6,8,0,1,14
16,5,8,2,2,4,9,2,9,4,0,2,13
19,7,0,8,2,7,6,1,10,4,0,0,15
20,6,7,2,2,8,5,0,6,9,0,1,14
21,8,0,7,1,7,7,2,10,3,0,1,14
23,3,10,2,0,3,12,2,7,6,0,0,15
24,7,0,8,1,10,4,1,13,1,1,1,13
26,7,0,8,2,9,4,3,7,5,1,2,12
27,9,4,2,0,12,3,1,8,6,0,2,13
28,3,10,2,0,0,15,2,7,6,0,2,13
30,7,0,8,2,7,6,3,4,8,0,2,13
31,9,3,3,0,9,6,2,4,9,0,2,13
32,8,0,7,1,7,7,1,7,7,0,2,13
34,9,3,3,0,11,4,0,9,6,1,2,12
36,8,0,7,1,6,8,1,11,3,0,2,13
37,3,10,2,1,4,10,0,6,9,0,2,13
40,9,2,4,0,9,6,2,9,4,0,2,13
41,3,10,2,2,1,12,7,0,8,0,0,15
42,7,0,8,1,7,7,3,7,5,0,2,13
43,7,0,8,1,7,7,1,12,2,0,1,14
45,3,10,2,3,6,6,2,8,5,0,2,13
46,3,10,2,0,1,14,2,9,4,0,2,13
47,9,4,2,0,11,4,2,5,8,1,2,12
49,9,4,2,0,12,3,1,9,5,0,2,13
53,3,10,2,2,5,8,2,4,9,0,0,15
54,3,10,2,0,2,13,1,3,11,0,1,14
56,3,10,2,1,4,10,1,3,11,0,2,13
59,3,10,2,0,3,12,0,2,13,0,0,15
63,3,10,2,2,6,7,3,5,7,0,2,13
67,9,3,3,0,11,4,2,5,8,0,1,14
68,3,10,2,1,3,11,0,1,14,0,1,14
73,9,4,2,0,11,4,0,8,7,0,2,13
