bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
11,6,0,2,1,6,1,2,2,4,0,2,6
15,6,0,2,0,4,4,2,2,4,0,1,7
90,2,6,0,1,4,3,0,3,5,0,0,8
95,6,0,2,0,5,3,2,2,4,0,2,6
177,6,0,2,0,7,1,0,7,1,0,2,6
197,2,6,0,1,4,3,0,5,3,0,1,7
211,2,6,0,0,4,4,0,1,7,0,0,8
255,2,6,0,0,0,8,0,2,6,0,1,7
257,2,6,0,0,0,8,0,0,8,0,1,7
272,2,6,0,1,4,3,0,4,4,0,0,8
338,2,6,0,0,0,8,0,0,8,0,2,6
384,2,6,0,1,1,6,0,1,7,0,2,6
416,2,6,0,0,1,7,1,1,6,0,2,6
759,2,6,0,1,1,6,0,0,8,1,2,5
946,2,6,0,0,0,8,0,0,8,0,2,6
1760,2,6,0,0,2,6,0,1,7,0,0,8
2336,2,6,0,1,4,3,0,5,3,0,2,6
2408,2,6,0,0,1,7,0,0,8,0,0,8
3133,2,6,0,0,0,8,0,0,8,0,1,7
3254,2,6,0,2,0,6,1,0,7,0,2,6
3516,2,6,0,0,0,8,0,0,8,0,0,8
3774,2,6,0,0,0,8,1,1,6,0,1,7
7371,2,6,0,0,0,8,0,0,8,0,1,7
7380,2,6,0,2,0,6,0,0,8,0,2,6
7398,2,6,0,0,1,7,0,1,7,0,2,6
7406,2,6,0,1,0,7,0,1,7,0,2,6
7408,2,6,0,0,0,8,4,0,4,0,0,8
7412,2,6,0,1,0,7,0,0,8,0,0,8
7417,2,6,0,1,0,7,1,0,7,0,4,4
7423,2,6,0,0,0,8,0,0,8,0,0,8
7426,2,6,0,0,0,8,0,0,8,0,0,8
7433,2,6,0,0,0,8,0,0,8,0,0,8
7435,2,6,0,0,0,8,0,0,8,0,2,6
7442,2,6,0,0,1,7,1,0,7,0,2,6
7447,2,6,0,0,0,8,0,0,8,0,2,6
7448,2,6,0,0,0,8,4,0,4,0,0,8
7457,2,6,0,0,0,8,0,0,8,1,2,5
7459,2,6,0,0,0,8,4,0,4,0,0,8
7470,2,6,0,0,0,8,4,0,4,0,0,8
