bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
765,4,30,11,0,0,45,1,0,44,17,0,28
796,4,30,11,1,0,44,1,2,42,16,0,29
809,4,30,11,2,1,42,3,1,41,16,0,29
821,4,30,11,0,0,45,0,2,43,16,0,29
844,4,30,11,0,2,43,2,1,42,16,0,29
899,4,30,11,0,1,44,0,1,44,16,0,29
956,4,30,11,2,1,42,3,1,41,16,0,29
1019,4,30,11,0,2,43,0,1,44,15,0,30
1057,4,30,11,1,0,44,3,0,42,16,0,29
1069,4,30,11,3,0,42,0,0,45,16,0,29
1072,4,30,11,0,0,45,0,2,43,16,0,29
1151,4,30,11,1,0,44,1,1,43,16,0,29
1338,4,30,11,0,0,45,0,0,45,16,0,29
1371,4,30,11,0,0,45,0,0,45,16,0,29
1395,4,30,11,0,0,45,0,1,44,15,0,30
1551,4,30,11,0,1,44,0,1,44,16,0,29
