bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
1,19,0,31,5,32,13,4,17,29,17,0,33
2,19,0,31,5,32,13,4,19,27,17,0,33
3,19,0,31,5,32,13,6,19,25,17,0,33
4,19,0,31,4,31,15,5,18,27,17,0,33
5,19,0,31,5,32,13,5,23,22,17,0,33
6,19,0,31,5,32,13,5,23,22,17,0,33
7,19,0,31,5,32,13,5,24,21,17,0,33
8,19,0,31,5,32,13,5,22,23,17,0,33
9,19,0,31,5,31,14,5,23,22,17,0,33
10,19,0,31,5,32,13,5,22,23,17,0,33
13,12,15,23,5,17,28,6,19,25,17,0,33
14,19,5,26,4,22,24,4,19,27,17,0,33
16,17,8,25,4,21,25,5,16,29,17,0,33
19,19,0,31,5,32,13,5,21,24,17,0,33
20,17,7,26,4,22,24,5,20,25,17,0,33
21,20,0,30,4,28,18,6,21,23,17,0,33
23,5,33,12,6,6,38,2,15,33,17,0,33
24,19,0,31,5,32,13,6,22,22,17,0,33
26,19,0,31,5,32,13,5,23,22,17,0,33
27,19,4,27,4,23,23,3,22,25,17,0,33
28,5,33,12,0,3,47,1,15,34,17,0,33
30,19,0,31,5,32,13,6,23,21,17,0,33
31,19,3,28,4,25,21,5,19,26,17,0,33
32,20,0,30,4,28,18,3,23,24,17,0,33
34,19,3,28,4,25,21,4,20,26,17,0,33
36,20,0,30,4,27,19,5,20,25,17,0,33
37,12,15,23,5,14,31,5,16,29,17,0,33
40,20,2,28,4,25,21,5,19,26,17,0,33
41,5,33,12,0,2,48,0,1,49,15,0,35
42,19,0,31,4,28,18,4,23,23,17,0,33
43,19,0,31,4,27,19,5,21,24,17,0,33
45,12,20,18,4,14,32,5,19,26,17,0,33
46,5,33,12,1,3,46,5,16,29,17,0,33
47,19,4,27,4,24,22,6,17,27,17,0,33
49,19,4,27,4,23,23,4,19,27,17,0,33
53,11,20,19,4,15,31,2,17,31,17,0,33
54,5,33,12,1,6,43,2,12,36,17,0,33
56,10,21,19,2,13,35,2,13,35,17,0,33
59,5,33,12,0,5,45,1,10,39,17,0,33
63,11,20,19,4,15,31,5,17,28,17,0,33
67,19,3,28,4,25,21,5,21,24,17,0,33
68,5,33,12,4,7,39,2,16,32,16,0,34
73,19,4,27,4,23,23,4,22,24,17,0,33
75,18,5,27,4,22,24,6,19,25,17,0,33
77,11,15,24,5,18,27,6,18,26,17,0,33
83,13,13,24,6,17,27,2,16,32,17,0,33
85,19,0,31,5,31,14,5,20,25,17,0,33
91,5,33,12,2,3,45,1,8,41,17,0,33
92,11,15,24,5,18,27,3,20,27,17,0,33
100,12,18,20,4,14,32,4,15,31,17,0,33
103,16,9,25,4,22,24,3,17,30,17,0,33
105,12,20,18,4,15,31,1,17,32,17,0,33
109,5,33,12,2,7,41,1,10,39,17,0,33
111,6,29,15,0,10,40,2,14,34,17,0,33
112,5,33,12,0,7,43,1,13,36,17,0,33
113,12,19,19,4,14,32,4,17,29,17,0,33
118,12,17,21,4,14,32,5,16,29,17,0,33
119,5,33,12,3,5,42,1,4,45,17,0,33
120,5,33,12,1,6,43,3,11,36,17,0,33
123,13,12,25,6,18,26,4,15,31,17,0,33
124,17,6,27,4,22,24,3,24,23,16,0,34
129,5,33,12,1,3,46,2,18,30,17,0,33
131,5,33,12,0,7,43,4,12,34,17,0,33
