bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
11,10,0,15,3,15,7,2,13,10,0,2,23
15,10,0,15,1,14,10,2,15,8,1,1,23
90,9,7,9,1,14,10,1,11,13,0,0,25
95,10,0,15,1,17,7,2,15,8,0,2,23
177,10,0,15,3,15,7,2,13,10,0,2,23
197,8,12,5,2,9,14,1,9,15,0,2,23
211,4,15,6,2,7,16,1,6,18,1,0,24
255,4,15,6,0,6,19,2,6,17,0,1,24
257,4,15,6,1,2,22,1,1,23,0,1,24
272,4,15,6,2,10,13,1,9,15,0,0,25
338,4,15,6,0,0,25,0,0,25,0,2,23
384,4,15,6,3,1,21,0,1,24,0,2,23
416,4,15,6,1,1,23,2,4,19,0,2,23
759,4,15,6,2,1,22,0,1,24,1,2,22
946,4,15,6,1,6,18,0,1,24,0,2,23
1760,4,15,6,1,3,21,0,6,19,1,0,24
2336,8,12,5,1,9,15,2,13,10,0,2,23
2408,4,15,6,0,1,24,0,1,24,0,1,24
3133,4,15,6,0,0,25,0,0,25,0,1,24
3254,4,15,6,3,1,21,1,3,21,0,2,23
3516,4,15,6,0,0,25,0,0,25,1,0,24
3774,4,15,6,0,2,23,2,3,20,0,1,24
7371,4,15,6,0,1,24,1,1,23,0,1,24
7380,4,15,6,3,0,22,1,1,23,0,2,23
7398,4,15,6,2,1,22,0,2,23,0,2,23
7406,4,15,6,1,1,23,0,1,24,0,2,23
7408,4,15,6,0,1,24,7,0,18,0,1,24
7412,4,15,6,1,0,24,1,0,24,0,0,25
7417,4,15,6,1,0,24,1,0,24,1,17,7
7423,4,15,6,0,0,25,0,0,25,1,0,24
7426,4,15,6,0,0,25,0,0,25,1,0,24
7433,4,15,6,0,0,25,0,0,25,1,0,24
7435,4,15,6,0,0,25,1,0,24,0,2,23
7442,4,15,6,1,1,23,1,0,24,0,2,23
7447,4,15,6,0,0,25,0,1,24,0,2,23
7448,4,15,6,0,1,24,7,0,18,0,1,24
7457,4,15,6,1,0,24,1,0,24,1,2,22
7459,4,15,6,0,1,24,7,0,18,0,1,24
7470,4,15,6,0,1,24,7,0,18,0,1,24
7471,4,15,6,0,1,24,7,0,18,0,1,24
7472,4,15,6,0,1,24,7,0,18,0,1,24
7474,4,15,6,0,1,24,7,0,18,0,1,24
7475,4,15,6,0,1,24,7,0,18,0,1,24
7477,4,15,6,0,1,24,7,0,18,0,1,24
7479,4,15,6,0,0,25,0,0,25,0,1,24
7480,4,15,6,0,1,24,7,0,18,0,1,24
7483,4,15,6,1,0,24,2,0,23,0,0,25
7484,4,15,6,3,0,22,7,0,18,0,1,24
7485,4,15,6,0,0,25,7,0,18,0,1,24
7501,4,15,6,2,0,23,1,0,24,1,1,23
7503,4,15,6,0,0,25,0,0,25,0,2,23
7504,4,15,6,0,1,24,0,0,25,0,2,23
7505,4,15,6,1,0,24,6,0,19,0,1,24
7506,4,15,6,1,0,24,1,0,24,1,17,7
7507,4,15,6,0,0,25,0,0,25,0,2,23
7510,4,15,6,0,0,25,1,0,24,0,1,24
7513,4,15,6,3,1,21,0,0,25,0,1,24
7514,4,15,6,0,1,24,1,0,24,0,0,25
7516,4,15,6,2,0,23,2,0,23,0,2,23
7521,4,15,6,1,0,24,0,0,25,0,1,24
7522,4,15,6,2,1,22,2,0,23,0,0,25
7523,4,15,6,2,1,22,2,0,23,0,0,25
7528,4,15,6,0,1,24,0,1,24,1,2,22
7532,4,15,6,2,1,22,2,0,23,0,0,25
