bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
1,6,0,9,3,9,3,2,8,5,2,0,13
2,6,0,9,2,10,3,3,5,7,2,0,13
3,6,0,9,3,9,3,2,10,3,2,0,13
4,6,0,9,2,8,5,1,8,6,2,0,13
5,6,0,9,2,9,4,2,6,7,2,0,13
6,6,0,9,2,7,6,2,7,6,2,0,13
7,6,0,9,2,10,3,1,8,6,2,0,13
8,6,0,9,2,9,4,1,8,6,2,0,13
9,6,0,9,2,7,6,2,5,8,2,0,13
10,6,0,9,2,10,3,2,5,8,2,0,13
13,3,10,2,0,3,12,1,9,5,2,0,13
14,4,5,6,1,10,4,1,4,10,2,0,13
16,4,8,3,2,4,9,1,6,8,2,0,13
19,6,0,9,2,7,6,0,10,5,2,0,13
20,4,7,4,2,8,5,3,5,7,2,0,13
21,7,0,8,1,7,7,2,8,5,2,0,13
23,3,10,2,1,3,11,1,6,8,2,0,13
24,6,0,9,1,10,4,1,10,4,2,0,13
26,6,0,9,2,9,4,2,8,5,2,0,13
27,4,4,7,0,11,4,0,8,7,2,0,13
28,3,10,2,0,0,15,1,5,9,2,0,13
30,6,0,9,2,7,6,2,6,7,2,0,13
31,5,3,7,0,9,6,2,4,9,2,0,13
32,7,0,8,1,7,7,1,8,6,2,0,13
34,5,3,7,0,11,4,0,10,5,2,0,13
36,7,0,8,1,6,8,0,11,4,2,0,13
37,3,10,2,1,4,10,1,6,8,2,0,13
40,6,2,7,0,9,6,1,6,8,2,0,13
41,3,10,2,0,1,14,0,0,15,5,0,10
42,6,0,9,1,7,7,2,6,7,2,0,13
43,6,0,9,1,7,7,1,11,3,2,0,13
45,3,10,2,3,6,6,2,3,10,2,0,13
46,3,10,2,0,1,14,2,8,5,2,0,13
47,4,4,7,0,11,4,2,4,9,2,0,13
49,4,4,7,0,12,3,0,10,5,2,0,13
53,3,10,2,2,4,9,0,3,12,2,0,13
54,3,10,2,0,2,13,0,4,11,2,0,13
56,3,10,2,1,4,10,0,3,12,2,0,13
59,3,10,2,0,2,13,0,4,11,2,0,13
63,3,10,2,2,6,7,4,4,7,2,0,13
67,5,3,7,0,11,4,4,4,7,2,0,13
68,3,10,2,1,3,11,2,4,9,2,0,13
73,4,4,7,1,10,4,0,9,6,2,0,13
75,4,5,6,2,10,3,2,9,4,2,0,13
77,3,10,2,1,3,11,3,5,7,2,0,13
83,3,10,2,2,5,8,0,3,12,2,0,13
85,6,0,9,2,7,6,1,11,3,2,0,13
91,3,10,2,0,0,15,1,3,11,2,0,13
92,3,10,2,0,4,11,0,5,10,2,0,13
100,3,10,2,2,6,7,1,6,8,2,0,13
103,4,9,2,2,4,9,1,3,11,2,0,13
105,3,10,2,1,3,11,0,4,11,2,0,13
109,3,10,2,1,2,12,0,4,11,2,0,13
111,3,10,2,0,2,13,1,4,10,2,0,13
112,3,10,2,0,4,11,1,3,11,2,0,13
113,3,10,2,2,6,7,2,5,8,2,0,13
118,3,10,2,2,4,9,2,3,10,2,0,13
119,3,10,2,2,2,11,1,2,12,2,0,13
120,3,10,2,0,2,13,0,3,12,2,0,13
123,3,10,2,2,4,9,1,7,7,2,0,13
124,4,6,5,2,8,5,1,4,10,2,0,13
129,3,10,2,0,0,15,1,7,7,2,0,13
131,3,10,2,0,2,13,3,2,10,2,0,13
138,3,10,2,1,0,14,1,1,13,2,0,13
142,3,10,2,2,4,9,2,5,8,2,0,13
145,4,5,6,1,10,4,0,10,5,2,0,13
148,3,10,2,3,0,12,0,4,11,2,0,13
149,3,10,2,0,2,13,0,2,13,2,0,13
150,3,10,2,0,4,11,1,3,11,2,0,13
159,3,10,2,2,6,7,2,4,9,2,0,13
