bad_user_id, l2_topk_bad, l2_lastk_bad, cosine_topk_bad, cosine_lastk_bad, unlabelled_l2_topk, unlabelled_l2_lastk, l2_topk_good, l2_lastk_good, cosine_topk_good, cosine_lastk_good,unlabelled_cosine_topk, unlabelled_cosine_lastk
11,2,1,0,2,4,1,0,4,2,0,4,4
15,2,0,1,2,4,3,0,3,2,0,3,4
90,2,1,1,2,0,3,4,2,3,0,2,4
95,2,0,0,2,4,3,0,3,4,0,2,4
177,2,0,0,2,4,1,0,5,5,0,1,4
197,2,1,0,2,0,2,4,3,3,0,3,4
211,2,0,0,2,0,3,4,3,1,0,5,4
255,2,0,0,2,0,6,4,0,2,0,4,4
257,2,0,0,2,0,6,4,0,0,0,6,4
272,2,0,0,2,0,3,4,3,3,0,3,4
338,2,0,0,2,0,6,4,0,0,0,6,4
384,2,0,0,2,0,5,4,1,1,0,5,4
416,2,0,1,2,0,5,4,1,0,0,5,4
759,2,0,0,2,0,6,4,0,0,0,6,4
946,2,0,0,2,0,6,4,0,0,0,6,4
1760,2,0,0,2,0,5,4,1,1,0,5,4
2336,2,1,0,2,0,3,4,2,4,0,2,4
2408,2,0,0,2,0,6,4,0,0,0,6,4
3133,2,0,0,2,0,6,4,0,0,0,6,4
3254,2,0,1,2,0,6,4,0,0,0,5,4
3516,2,0,0,2,0,6,4,0,0,0,6,4
3774,2,0,0,2,0,6,4,0,2,0,4,4
7371,2,0,0,2,0,6,4,0,0,0,6,4
7380,2,2,0,2,0,4,4,0,0,0,6,4
7398,2,0,0,2,0,6,4,0,0,0,6,4
7406,2,0,0,2,0,6,4,0,0,0,6,4
7408,2,1,2,0,0,5,4,0,0,0,4,6
7412,2,1,1,2,0,5,4,0,0,0,5,4
7417,2,1,1,0,0,5,4,0,0,0,5,6
7423,2,0,0,2,0,6,4,0,0,0,6,4
7426,2,0,1,2,0,6,4,0,0,0,5,4
7433,2,0,0,2,0,6,4,0,0,0,6,4
7435,2,0,0,2,0,6,4,0,0,0,6,4
7442,2,0,1,2,0,5,4,1,0,0,5,4
7447,2,0,0,2,0,6,4,0,1,0,5,4
7448,2,2,2,0,0,4,4,0,0,0,4,6
7457,2,0,1,2,0,6,4,0,0,0,5,4
7459,2,5,5,0,0,1,4,0,0,0,1,6
7470,2,5,5,0,0,1,4,0,0,0,1,6
7471,2,5,5,0,0,1,4,0,0,0,1,6
7472,2,5,5,0,0,1,4,0,0,0,1,6
7474,2,5,5,0,0,1,4,0,0,0,1,6
7475,2,5,5,0,0,1,4,0,0,0,1,6
7477,2,2,2,0,0,4,4,0,0,0,4,6
7479,2,0,0,2,0,6,4,0,0,0,6,4
7480,2,2,2,0,0,4,4,0,0,0,4,6
7483,2,1,1,0,0,5,4,0,0,0,5,6
7484,2,0,0,0,0,6,4,0,0,0,6,6
