bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
11,7,0,8,2,10,3,2,7,6,0,2,13
15,7,0,8,0,10,5,2,8,5,0,1,14
90,6,7,2,1,8,6,1,8,6,0,0,15
95,7,0,8,1,8,6,2,8,5,0,2,13
177,7,0,8,2,10,3,1,10,4,0,2,13
197,3,10,2,1,6,8,1,7,7,0,1,14
211,3,10,2,1,5,9,0,3,12,0,0,15
255,3,10,2,0,2,13,0,3,12,0,0,15
257,3,10,2,1,0,14,0,1,14,0,1,14
272,3,10,2,1,8,6,0,7,8,0,0,15
338,3,10,2,0,0,15,0,0,15,0,2,13
384,3,10,2,2,1,12,0,1,14,0,2,13
416,3,10,2,0,1,14,1,3,11,0,2,13
759,3,10,2,2,1,12,0,0,15,0,2,13
946,3,10,2,1,2,12,0,0,15,0,2,13
1760,3,10,2,1,2,12,0,3,12,0,0,15
2336,3,10,2,1,6,8,0,8,7,0,2,13
2408,3,10,2,0,1,14,0,1,14,0,0,15
3133,3,10,2,0,0,15,0,0,15,0,1,14
3254,3,10,2,2,1,12,1,1,13,0,2,13
3516,3,10,2,0,0,15,0,0,15,0,0,15
3774,3,10,2,0,1,14,2,3,10,0,1,14
7371,3,10,2,0,0,15,1,0,14,0,1,14
7380,3,10,2,3,0,12,1,1,13,0,2,13
7398,3,10,2,0,1,14,0,1,14,0,2,13
7406,3,10,2,1,0,14,0,1,14,0,2,13
7408,3,10,2,0,0,15,7,0,8,0,0,15
7412,3,10,2,1,0,14,0,0,15,0,0,15
7417,3,10,2,1,0,14,1,0,14,1,9,5
7423,3,10,2,0,0,15,0,0,15,0,0,15
7426,3,10,2,0,0,15,0,0,15,1,0,14
7433,3,10,2,0,0,15,0,0,15,0,0,15
7435,3,10,2,0,0,15,0,0,15,0,1,14
7442,3,10,2,0,1,14,1,0,14,0,2,13
7447,3,10,2,0,0,15,0,1,14,0,2,13
7448,3,10,2,0,0,15,7,0,8,0,0,15
7457,3,10,2,0,0,15,0,0,15,1,2,12
7459,3,10,2,0,0,15,7,0,8,0,0,15
7470,3,10,2,0,0,15,7,0,8,0,0,15
7471,3,10,2,0,0,15,7,0,8,0,0,15
7472,3,10,2,0,0,15,7,0,8,0,0,15
7474,3,10,2,0,0,15,7,0,8,0,0,15
7475,3,10,2,0,0,15,7,0,8,0,0,15
7477,3,10,2,0,0,15,7,0,8,0,0,15
7479,3,10,2,0,0,15,0,0,15,0,1,14
7480,3,10,2,0,0,15,7,0,8,0,0,15
7483,3,10,2,1,0,14,2,0,13,0,0,15
7484,3,10,2,3,0,12,7,0,8,0,0,15
7485,3,10,2,0,0,15,7,0,8,0,0,15
7501,3,10,2,1,0,14,1,0,14,1,1,13
7503,3,10,2,0,0,15,0,0,15,0,2,13
7504,3,10,2,0,0,15,0,0,15,0,2,13
7505,3,10,2,1,0,14,6,0,9,0,0,15
7506,3,10,2,1,0,14,1,0,14,1,10,4
7507,3,10,2,0,0,15,0,0,15,0,2,13
7510,3,10,2,0,0,15,0,0,15,0,1,14
7513,3,10,2,2,1,12,0,0,15,0,0,15
7514,3,10,2,0,1,14,1,0,14,0,1,14
7516,3,10,2,2,0,13,1,0,14,0,2,13
7521,3,10,2,1,0,14,0,0,15,0,1,14
7522,3,10,2,2,0,13,2,0,13,0,1,14
7523,3,10,2,2,0,13,2,0,13,0,1,14
7528,3,10,2,0,1,14,0,1,14,1,2,12
7532,3,10,2,2,0,13,2,0,13,0,1,14
7535,3,10,2,1,0,14,2,0,13,0,2,13
7540,3,10,2,1,0,14,0,0,15,1,2,12
7542,3,10,2,0,0,15,6,0,9,0,0,15
7543,3,10,2,0,0,15,6,0,9,0,0,15
7544,3,10,2,1,0,14,0,0,15,0,0,15
7550,3,10,2,1,2,12,0,4,11,0,1,14
7554,3,10,2,0,1,14,0,0,15,0,0,15
7555,3,10,2,1,0,14,0,0,15,0,0,15
7556,3,10,2,2,0,13,6,0,9,0,0,15
7558,3,10,2,0,0,15,0,0,15,0,0,15
7559,3,10,2,1,0,14,6,0,9,0,0,15
7563,3,10,2,0,0,15,1,0,14,1,2,12
7564,3,10,2,1,1,13,1,10,4,0,2,13
7566,3,10,2,1,0,14,1,0,14,0,2,13
7567,3,10,2,0,0,15,6,0,9,0,0,15
