bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
11,39,11,0,7,42,1,8,42,0,37,12,1
15,39,11,0,6,43,1,8,42,0,37,12,1
90,37,13,0,7,42,1,7,43,0,37,12,1
95,39,11,0,6,43,1,8,42,0,37,12,1
177,39,11,0,7,42,1,7,43,0,37,12,1
197,32,18,0,7,42,1,8,42,0,37,12,1
211,26,24,0,8,41,1,6,44,0,37,12,1
255,26,24,0,8,41,1,7,43,0,37,12,1
257,8,42,0,19,30,1,19,31,0,37,12,1
272,26,24,0,8,41,1,7,43,0,37,12,1
338,8,42,0,34,15,1,26,24,0,30,19,1
384,8,42,0,28,21,1,20,30,0,37,12,1
416,8,42,0,18,31,1,18,32,0,38,11,1
759,8,42,0,18,31,1,10,40,0,37,12,1
946,8,42,0,18,31,1,14,36,0,37,12,1
1760,8,42,0,17,32,1,14,36,0,38,11,1
2336,32,18,0,7,42,1,9,41,0,37,12,1
2408,8,42,0,30,19,1,36,14,0,25,24,1
3133,8,42,0,37,12,1,20,30,0,37,12,1
3254,8,42,0,19,30,1,20,30,0,38,11,1
3516,8,42,0,35,14,1,26,24,0,31,18,1
3774,8,42,0,31,18,1,22,28,0,38,11,1
7371,8,42,0,34,15,1,24,26,0,37,12,1
7380,8,42,0,18,31,1,23,27,0,38,11,1
7398,8,42,0,26,23,1,24,26,0,37,12,1
7406,8,42,0,23,26,1,32,18,0,30,19,1
7408,8,42,0,38,11,1,35,15,0,20,29,1
7412,8,42,0,31,18,1,26,24,0,31,18,1
7417,8,42,0,38,11,1,38,12,0,9,40,1
7423,8,42,0,38,11,1,33,17,0,25,24,1
7426,8,42,0,36,13,1,34,16,0,25,24,1
7433,8,42,0,38,11,1,35,15,0,25,24,1
7435,8,42,0,38,11,1,34,16,0,25,24,1
7442,8,42,0,27,22,1,32,18,0,30,19,1
7447,8,42,0,38,11,1,37,13,0,25,24,1
7448,8,42,0,38,11,1,35,15,0,20,29,1
7457,8,42,0,30,19,1,33,17,0,25,24,1
7459,8,42,0,38,11,1,35,15,0,20,29,1
7470,8,42,0,38,11,1,35,15,0,20,29,1
7471,8,42,0,38,11,1,35,15,0,20,29,1
7472,8,42,0,38,11,1,35,15,0,20,29,1
7474,8,42,0,38,11,1,35,15,0,20,29,1
7475,8,42,0,38,11,1,35,15,0,20,29,1
7477,8,42,0,38,11,1,35,15,0,20,29,1
7479,8,42,0,37,12,1,36,14,0,25,24,1
7480,8,42,0,38,11,1,35,15,0,20,29,1
7483,8,42,0,38,11,1,34,16,0,32,17,1
7484,8,42,0,38,11,1,35,15,0,20,29,1
7485,8,42,0,38,11,1,35,15,0,20,29,1
7501,8,42,0,30,19,1,33,17,0,25,24,1
7503,8,42,0,39,10,1,34,16,0,25,24,1
7504,8,42,0,38,11,1,33,17,0,31,18,1
7505,8,42,0,38,11,1,35,15,0,20,29,1
7506,8,42,0,38,11,1,38,12,0,10,39,1
7507,8,42,0,37,12,1,34,16,0,31,18,1
