bad_user_id, l2_topk_bad, l2_topk_good, unlabelled_l2_topk,l2_lastk_bad, l2_lastk_good, unlabelled_l2_lastk,cosine_topk_bad, cosine_topk_good, unlabelled_cosine_topk,cosine_lastk_bad, cosine_lastk_good,unlabelled_cosine_lastk 
11,10,0,40,4,33,13,5,23,22,0,3,47
15,10,0,40,3,32,15,5,26,19,4,2,44
90,12,7,31,3,23,24,4,19,27,3,2,45
95,10,0,40,3,33,14,5,25,20,4,2,44
177,10,0,40,4,33,13,5,22,23,0,3,47
197,13,12,25,5,18,27,4,17,29,0,2,48
211,12,20,18,3,16,31,3,16,31,3,2,45
255,12,20,18,3,15,32,3,15,32,0,2,48
257,5,33,12,2,3,45,2,2,46,0,2,48
272,12,19,19,3,15,32,3,18,29,0,1,49
338,5,33,12,1,0,49,2,1,47,4,2,44
384,5,33,12,3,1,46,3,1,46,3,2,45
416,5,33,12,2,5,43,3,7,40,0,3,47
759,5,33,12,5,5,40,1,4,45,1,3,46
946,5,33,12,3,8,39,1,3,46,0,3,47
1760,5,33,12,1,8,41,3,9,38,3,2,45
2336,13,12,25,5,18,27,3,25,22,0,3,47
2408,5,33,12,0,1,49,0,1,49,0,1,49
3133,5,33,12,1,0,49,0,0,50,0,2,48
3254,5,33,12,4,3,43,3,6,41,0,3,47
3516,5,33,12,1,0,49,1,0,49,4,2,44
3774,5,33,12,3,2,45,3,4,43,0,2,48
7371,5,33,12,2,1,47,1,2,47,4,2,44
7380,5,33,12,3,1,46,2,3,45,3,2,45
7398,5,33,12,3,1,46,0,3,47,0,3,47
7406,5,33,12,1,1,48,0,3,47,0,3,47
7408,5,33,12,0,2,48,17,0,33,0,1,49
7412,5,33,12,1,0,49,1,1,48,0,1,49
7417,5,33,12,5,0,45,1,0,49,3,23,24
7423,5,33,12,0,0,50,0,0,50,3,2,45
7426,5,33,12,2,0,48,1,0,49,4,2,44
7433,5,33,12,1,0,49,1,0,49,4,2,44
7435,5,33,12,0,0,50,1,0,49,4,2,44
7442,5,33,12,1,2,47,1,1,48,0,3,47
7447,5,33,12,0,0,50,0,1,49,0,3,47
7448,5,33,12,0,2,48,17,0,33,0,1,49
7457,5,33,12,2,0,48,1,0,49,1,3,46
7459,5,33,12,0,2,48,17,0,33,0,1,49
7470,5,33,12,0,2,48,17,0,33,0,1,49
7471,5,33,12,0,2,48,17,0,33,0,1,49
7472,5,33,12,0,2,48,17,0,33,0,1,49
7474,5,33,12,0,2,48,17,0,33,0,1,49
7475,5,33,12,0,2,48,17,0,33,0,1,49
7477,5,33,12,0,2,48,17,0,33,0,1,49
7479,5,33,12,0,0,50,0,0,50,3,2,45
7480,5,33,12,0,2,48,17,0,33,0,1,49
7483,5,33,12,1,0,49,2,0,48,3,2,45
7484,5,33,12,5,0,45,17,0,33,0,1,49
7485,5,33,12,0,0,50,17,0,33,0,1,49
7501,5,33,12,2,0,48,1,0,49,4,2,44
7503,5,33,12,1,0,49,1,0,49,0,3,47
7504,5,33,12,1,2,47,0,0,50,0,3,47
7505,5,33,12,4,0,46,17,0,33,0,1,49
7506,5,33,12,5,0,45,7,0,43,3,24,23
7507,5,33,12,0,0,50,3,0,47,0,3,47
7510,5,33,12,0,0,50,1,0,49,0,2,48
7513,5,33,12,3,1,46,1,2,47,0,1,49
7514,5,33,12,3,2,45,2,2,46,0,1,49
7516,5,33,12,2,0,48,2,0,48,0,3,47
7521,5,33,12,1,0,49,1,0,49,0,2,48
7522,5,33,12,2,1,47,2,1,47,0,1,49
7523,5,33,12,2,1,47,2,1,47,0,1,49
7528,5,33,12,1,1,48,0,1,49,1,3,46
7532,5,33,12,2,1,47,2,1,47,0,1,49
7535,5,33,12,1,0,49,2,0,48,0,3,47
7540,5,33,12,2,0,48,1,0,49,0,2,48
7542,5,33,12,0,0,50,17,0,33,0,1,49
7543,5,33,12,0,0,50,17,0,33,0,1,49
7544,5,33,12,2,0,48,3,0,47,4,2,44
7550,5,33,12,2,8,40,1,8,41,4,2,44
7554,5,33,12,1,5,44,0,3,47,3,2,45
7555,5,33,12,2,0,48,2,0,48,3,2,45
7556,5,33,12,5,0,45,17,0,33,0,1,49
7558,5,33,12,0,0,50,0,0,50,4,1,45
7559,5,33,12,4,0,46,17,0,33,0,1,49
7563,5,33,12,0,0,50,2,0,48,1,3,46
7564,5,33,12,5,5,40,5,19,26,0,3,47
7566,5,33,12,1,2,47,1,1,48,0,3,47
7567,5,33,12,1,0,49,17,0,33,0,1,49
7568,5,33,12,1,1,48,0,0,50,0,3,47
7574,5,33,12,1,0,49,17,0,33,0,1,49
7575,5,33,12,2,0,48,2,0,48,0,1,49
7578,5,33,12,2,0,48,1,0,49,0,1,49
7583,5,33,12,1,0,49,2,0,48,4,2,44
7584,5,33,12,1,5,44,1,2,47,0,3,47
7585,5,33,12,3,1,46,2,4,44,4,2,44
7586,5,33,12,0,0,50,1,0,49,0,3,47
7587,5,33,12,1,1,48,0,2,48,4,2,44
7588,5,33,12,5,4,41,3,5,42,0,3,47
7590,5,33,12,2,2,46,2,4,44,0,2,48
7591,5,33,12,2,6,42,3,4,43,0,3,47
