bad_user_id, l2_topk, l2_lastk, cosine_topk, cosine_lastk, total_bad_user_count
11,7,12,7,7,102
15,5,12,10,5,102
90,10,8,10,7,102
95,5,11,11,5,102
177,5,12,9,5,102
197,11,8,8,8,102
211,10,8,9,6,102
255,13,8,8,7,102
257,17,4,6,10,102
272,9,8,4,7,102
338,15,8,19,2,102
384,17,5,4,6,102
416,18,7,6,11,102
759,14,7,6,7,102
946,24,8,7,11,102
1760,23,8,7,11,102
2336,8,8,10,5,102
2408,15,2,6,7,102
3133,15,3,6,5,102
3254,17,5,6,8,102
3516,16,4,3,10,102
3774,15,6,4,8,102
7371,16,3,3,5,102
7380,15,3,7,5,102
7398,16,2,8,5,102
7406,15,6,3,8,102
7412,16,4,3,5,102
7417,15,4,15,3,102
7423,15,1,2,5,102
7426,15,2,4,8,102
7433,15,1,0,2,102
7435,15,0,6,10,102
7442,15,7,6,8,102
7447,15,1,2,2,102
7457,15,4,4,7,102
7479,15,0,2,2,102
7483,14,10,19,2,102
7501,15,7,10,5,102
7503,15,0,4,5,102
7504,15,6,8,1,102
7506,15,5,16,3,102
7507,15,5,4,8,102
7510,15,10,18,0,102
7513,15,8,8,0,102
7514,14,8,12,0,102
7516,15,5,10,2,102
7521,15,5,6,7,102
7522,15,8,17,3,102
7523,15,8,17,3,102
7528,15,10,7,8,102
7532,15,8,17,3,102
7535,14,10,20,1,102
7540,15,0,0,12,102
7544,15,8,10,5,102
7550,17,9,7,7,102
7554,16,7,5,10,102
7555,15,3,4,7,102
7558,15,1,4,1,102
7563,15,9,6,9,102
7564,9,8,12,5,102
7566,15,6,7,7,102
7568,15,5,6,5,102
7575,15,4,4,14,102
7578,15,4,7,5,102
7583,15,1,6,5,102
7584,15,11,14,3,102
7585,17,4,5,7,102
7586,15,8,8,0,102
7587,15,4,5,7,102
7588,16,8,9,6,102
7590,15,4,7,8,102
7591,16,3,6,5,102
7594,15,5,14,1,102
7595,9,7,7,5,102
7596,16,2,8,11,102
7597,17,4,5,10,102
7598,14,13,21,0,102
7599,13,14,22,2,102
7600,17,7,8,5,102
7601,14,15,23,2,102
7602,14,12,22,2,102
7603,9,9,7,6,102
7604,12,12,19,0,102
